TIME(MS),COMMAND,VALUE
 022070 ,7      ,0
 022070 ,8      ,1
 022070 ,STAR_SOLID,0,0,255 
 022070 ,3      ,1
 022170 ,3      ,0 
 022270 ,3      ,1
 022370 ,3      ,0
 022470 ,8      ,0
 022470 ,6      ,1
 022470 ,STAR_SOLID,255,0,0
 022470 ,3      ,1
 022570 ,3      ,0
 022670 ,3      ,1
 022770 ,3      ,0 
 022870 ,6      ,0
 022870 ,7      ,1
 022870 ,STAR_SOLID,0,255,0
 022870 ,5      ,1
 022970 ,5      ,0 
 023070 ,5      ,1
 023170 ,5      ,0
 023270 ,7      ,0
 023270 ,6      ,1
 023270 ,STAR_SOLID,255,0,0
 023270 ,5      ,1
 023370 ,5      ,0
 023470 ,5      ,1
 023570 ,5      ,0
 023670 ,6      ,0
 023670 ,8      ,1
 023670 ,STAR_SOLID,0,0,255 
 023670 ,5      ,1
 023770 ,5      ,0 
 023870 ,5      ,1
 023970 ,5      ,0
 024070 ,8      ,0
 024070 ,7      ,1
 024070 ,STAR_SOLID,0,255,0
 024070 ,5      ,1
 024170 ,5      ,0
 024270 ,5      ,1
 024370 ,5      ,0
 024370 ,7      ,0
 024370 ,STAR_SOLID,0,0,0
 024520 ,6      ,1  
 024520 ,7      ,1
 024520 ,8      ,1
 024520 ,STAR_SOLID,255,255,255 
 024520 ,2      ,1
 024520 ,4      ,1
 024750 ,2      ,0
 024750 ,4      ,0
 024750 ,6      ,0  
 024750 ,7      ,0
 024750 ,8      ,0
 024750 ,STAR_SOLID,0,0,0 
 025160 ,5                ,1
 025260 ,5                ,0
 025350 ,4                ,1
 025450 ,4                ,0
 025550 ,3                ,1 
 025650 ,3                ,0
 025750 ,2                ,1
 025850 ,2                ,0
 025950 ,1                ,1
 026050 ,1                ,0
 026150 ,1                ,1
 026150 ,2                ,1
 026150 ,3                ,1
 026150 ,4                ,1
 026150 ,5                ,1
 026150 ,6                ,1
 026150 ,7                ,1
 026150 ,8                ,1
 026150 ,STAR_SOLID,204,0,204
 026400 ,1                ,0 
 026400 ,2                ,0
 026400 ,3                ,0 
 026400 ,4                ,0 
 026400 ,5                ,0
 026400 ,6                ,0 
 026400 ,7                ,0 
 026400 ,8                ,0
 026400 ,STAR_SOLID,0,0,0
 026760 ,5                ,1
 026860 ,5                ,0
 026960 ,4                ,1
 027060 ,4                ,0
 027160 ,3                ,1 
 027260 ,3                ,0
 027360 ,2                ,1
 027460 ,2                ,0
 027560 ,1                ,1
 027660 ,1                ,0
 027760 ,1                ,1
 027760 ,2                ,1
 027760 ,3                ,1
 027760 ,4                ,1
 027760 ,5                ,1
 027760 ,6                ,1
 027760 ,7                ,1
 027760 ,8                ,1
 027760 ,STAR_SOLID,204,0,204
 028000 ,1                ,0 
 028000 ,2                ,0
 028000 ,3                ,0 
 028000 ,4                ,0 
 028000 ,5                ,0
 028000 ,6                ,0 
 028000 ,7                ,0 
 027760 ,8                ,0
 027760 ,STAR_SOLID,0,0,0
 028380 ,1                ,1
 028380 ,2                ,1
 028380 ,3                ,1
 028380 ,4                ,1
 028380 ,5                ,1
 028380 ,6                ,1
 028380 ,7                ,1
 028380 ,8                ,1
 028380 ,STAR_SOLID,204,0,204
 028480 ,1                ,0 
 028480 ,2                ,0
 028480 ,3                ,0 
 028480 ,4                ,0 
 028480 ,5                ,0
 028480 ,6                ,0 
 028480 ,7                ,0 
 028480 ,8                ,0
 028480 ,STAR_SOLID,0,0,0
 028580 ,1                ,1
 028580 ,2                ,1
 028580 ,3                ,1
 028580 ,4                ,1
 028580 ,5                ,1
 028580 ,6                ,1
 028580 ,7                ,1
 028580 ,8                ,1
 028580 ,STAR_SOLID,204,0,204
 028680 ,1                ,0 
 028680 ,2                ,0
 028680 ,3                ,0 
 028680 ,4                ,0 
 028680 ,5                ,0
 028680 ,6                ,0 
 028680 ,7                ,0 
 028680 ,8                ,0
 028680 ,STAR_SOLID,0,0,0
 029180 ,1                ,1
 029180 ,2                ,1
 029180 ,3                ,1
 029180 ,4                ,1
 029180 ,5                ,1
 029180 ,6                ,1
 029180 ,7                ,1
 029180 ,8                ,1
 029180 ,STAR_SOLID,204,0,204
 029280 ,1                ,0 
 029280 ,2                ,0
 029280 ,3                ,0 
 029280 ,4                ,0 
 029280 ,5                ,0
 029280 ,6                ,0 
 029280 ,7                ,0 
 029280 ,8                ,0
 029280 ,STAR_SOLID,0,0,0
 029380 ,1                ,1
 029380 ,2                ,1
 029380 ,3                ,1
 029380 ,4                ,1
 029380 ,5                ,1
 029380 ,6                ,1
 029380 ,7                ,1
 029380 ,8                ,1
 029380 ,STAR_SOLID,204,0,204
 029480 ,1                ,0 
 029480 ,2                ,0
 029480 ,3                ,0 
 029480 ,4                ,0 
 029480 ,5                ,0
 029480 ,6                ,0 
 029480 ,7                ,0 
 029480 ,8                ,0 
 029480 ,STAR_SOLID,0,0,0
 029800 ,7                ,1
 029800 ,STAR_SOLID,0,255,0
 030200 ,7                ,0
 030200 ,STAR_SOLID,0,0,0
 030200 ,6                ,1
 030200 ,STAR_SOLID,255,0,0
 030600 ,6                ,0
 030600 ,STAR_SOLID,0,0,0
 030600 ,8                ,1
 030600 ,STAR_SOLID,0,0,255
 031000 ,8                ,0
 031000 ,STAR_SOLID,0,0,0
 031020 ,6      ,1
 031020 ,STAR_POINT2,255,0,0
 031020 ,1      ,1
 031070 ,1      ,0
 031120 ,2      ,1
 031170 ,2      ,0
 031220 ,3      ,1
 031270 ,3      ,0
 031320 ,4      ,1
 031370 ,4      ,0
 031420 ,6      ,0
 031420 ,7      ,1
 031420 ,STAR_POINT3,0,255,0 
 031420 ,5      ,1
 031470 ,5      ,0
 031520 ,4      ,1
 031570 ,4      ,0
 031620 ,3      ,1
 031620 ,STAR_POINT2,0,0,0
 031670 ,3      ,0
 031720 ,2      ,1
 031770 ,2      ,0
 031820 ,7      ,0
 031820 ,6      ,1
 031820 ,STAR_POINT4,255,0,0
 031820 ,1      ,1
 031870 ,1      ,0
 031920 ,2      ,1
 031970 ,2      ,0
 032020 ,3      ,1
 032020 ,STAR_POINT3,0,0,0
 032070 ,3      ,0
 032020 ,4      ,1
 032070 ,4      ,0
 032220 ,6      ,0
 032220 ,7      ,1
 032220 ,STAR_POINT5,0,255,0
 032220 ,5      ,1
 032270 ,5      ,0
 032320 ,4      ,1
 032370 ,4      ,0
 032420 ,3      ,1
 032420 ,STAR_POINT4,0,0,0
 032470 ,3      ,0
 032520 ,2      ,1
 032570 ,2      ,0
 032620 ,7      ,0
 032620 ,8      ,1
 032620 ,STAR_POINT1,0,0,255
